starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 22 15:42:00 2017	1487774520	1	701	702	681
Wed Feb 22 15:41:52 2017	1487774512	1	702	703	651
Wed Feb 22 15:41:46 2017	1487774506	2	703	705	688
Wed Feb 22 15:41:58 2017	1487774518	1	704	705	653
Wed Feb 22 15:42:01 2017	1487774521	1	704	705	669
Wed Feb 22 15:42:11 2017	1487774531	1	704	706	658
Wed Feb 22 15:41:57 2017	1487774517	1	705	706	695
Wed Feb 22 15:42:07 2017	1487774527	2	704	706	692
Wed Feb 22 15:42:07 2017	1487774527	1	705	706	653
Wed Feb 22 15:42:07 2017	1487774527	1	705	706	672
Wed Feb 22 15:42:09 2017	1487774529	1	706	707	663
Wed Feb 22 15:42:06 2017	1487774526	1	707	708	666
Wed Feb 22 15:42:09 2017	1487774529	1	707	708	660
Wed Feb 22 15:42:02 2017	1487774522	1	707	708	684
Wed Feb 22 15:42:01 2017	1487774521	1	708	709	685
Wed Feb 22 15:41:53 2017	1487774513	1	709	710	680
Wed Feb 22 15:41:42 2017	1487774502	1	710	711	703
Wed Feb 22 15:41:53 2017	1487774513	1	711	712	666
Wed Feb 22 15:42:11 2017	1487774531	1	711	712	673
Wed Feb 22 15:41:52 2017	1487774512	1	711	712	653
Wed Feb 22 15:41:52 2017	1487774512	1	711	713	680
Wed Feb 22 15:41:51 2017	1487774511	1	712	713	655
Wed Feb 22 15:41:51 2017	1487774511	1	712	713	669
Wed Feb 22 15:41:57 2017	1487774517	1	713	714	701
Wed Feb 22 15:41:52 2017	1487774512	1	713	715	699
Wed Feb 22 15:41:39 2017	1487774499	2	713	715	665
Wed Feb 22 15:41:39 2017	1487774499	2	713	715	674
Wed Feb 22 15:41:39 2017	1487774499	2	714	715	685
Wed Feb 22 15:41:57 2017	1487774517	2	714	716	673
Wed Feb 22 15:41:39 2017	1487774499	2	714	716	692
Wed Feb 22 15:41:39 2017	1487774499	2	714	716	698
Wed Feb 22 15:42:09 2017	1487774529	1	715	716	704
Wed Feb 22 15:41:44 2017	1487774504	1	715	716	699
Wed Feb 22 15:42:04 2017	1487774524	7	709	717	704
Wed Feb 22 15:41:39 2017	1487774499	2	715	717	706
Wed Feb 22 15:41:56 2017	1487774516	1	716	718	703
Wed Feb 22 15:41:59 2017	1487774519	2	716	718	707
Wed Feb 22 15:42:10 2017	1487774530	1	717	718	674
Wed Feb 22 15:41:58 2017	1487774518	2	718	719	676
Wed Feb 22 15:42:09 2017	1487774529	1	719	720	696
Wed Feb 22 15:41:55 2017	1487774515	1	720	721	669
Wed Feb 22 15:42:09 2017	1487774529	1	720	721	668
Wed Feb 22 15:41:52 2017	1487774512	1	724	725	694
Wed Feb 22 15:41:51 2017	1487774511	1	723	725	697
Wed Feb 22 15:42:08 2017	1487774528	2	724	725	687
Wed Feb 22 15:41:53 2017	1487774513	1	725	726	662
Wed Feb 22 15:41:51 2017	1487774511	2	725	726	693
Wed Feb 22 15:41:45 2017	1487774505	2	726	728	683
Wed Feb 22 15:41:58 2017	1487774518	1	727	728	667
Wed Feb 22 15:41:42 2017	1487774502	1	727	729	655
Wed Feb 22 15:41:58 2017	1487774518	1	728	729	682
Wed Feb 22 15:41:42 2017	1487774502	1	729	731	679
Wed Feb 22 15:41:58 2017	1487774518	1	730	731	680
Wed Feb 22 15:41:48 2017	1487774508	1	731	732	659
Wed Feb 22 15:42:08 2017	1487774528	1	731	732	731
Wed Feb 22 15:42:07 2017	1487774527	2	731	733	684
Wed Feb 22 15:41:57 2017	1487774517	1	732	733	689
Wed Feb 22 15:41:48 2017	1487774508	1	732	733	686
Wed Feb 22 15:41:48 2017	1487774508	1	733	734	648
Wed Feb 22 15:41:59 2017	1487774519	1	733	734	670
Wed Feb 22 15:41:48 2017	1487774508	1	734	736	674
